merchantid,merchantSlug,businessType,Industry,customerSegment,market,First_Shipment_Month,Delivery_Month,Delivery_Year,delivery_quarter,GMV,First_Shipment_Quarter_Year,Delivery_Month_Year,Delivery_Quarter_Year
KxRoEXnfQ8zU2tZ5Q66k,station-cold-brew,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,5,2021,$2.00,1461.645,2021-02-01,5-2021,2-2021
n5sJc6ydhbLgVImLIbcA,mindzai,eCommerce,Children's Toys,Small Business,Toronto,2021-04-01,9,2021,$3.00,21.87,2021-02-01,9-2021,3-2021
n5sJc6ydhbLgVImLIbcA,mindzai,eCommerce,Children's Toys,Small Business,Toronto,2021-04-01,7,2021,$3.00,21.87,2021-02-01,7-2021,3-2021
n5sJc6ydhbLgVImLIbcA,mindzai,eCommerce,Children's Toys,Small Business,Toronto,2021-04-01,5,2021,$2.00,43.74,2021-02-01,5-2021,2-2021
n5sJc6ydhbLgVImLIbcA,mindzai,eCommerce,Children's Toys,Small Business,Toronto,2021-04-01,11,2021,$4.00,51.9372,2021-02-01,11-2021,4-2021
n5sJc6ydhbLgVImLIbcA,mindzai,eCommerce,Children's Toys,Small Business,Toronto,2021-04-01,8,2021,$3.00,43.74,2021-02-01,8-2021,3-2021
n5sJc6ydhbLgVImLIbcA,mindzai,eCommerce,Children's Toys,Small Business,Toronto,2021-04-01,10,2021,$4.00,54.675,2021-02-01,10-2021,4-2021
n5sJc6ydhbLgVImLIbcA,mindzai,eCommerce,Children's Toys,Small Business,Toronto,2021-04-01,2,2022,$1.00,63.666162,2021-02-01,2-2022,1-2022
n5sJc6ydhbLgVImLIbcA,mindzai,eCommerce,Children's Toys,Small Business,Toronto,2021-04-01,1,2022,$1.00,64.162368,2021-02-01,1-2022,1-2022
n5sJc6ydhbLgVImLIbcA,mindzai,eCommerce,Children's Toys,Small Business,Toronto,2021-04-01,12,2021,$4.00,87.48,2021-02-01,12-2021,4-2021
n5sJc6ydhbLgVImLIbcA,mindzai,eCommerce,Children's Toys,Small Business,Toronto,2021-04-01,6,2021,$2.00,98.415,2021-02-01,6-2021,2-2021
o3W2cLXgLUx7ZazVYdT8,Pilot Coffee,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,5,2021,$2.00,5.4675,2021-02-01,5-2021,2-2021
o3W2cLXgLUx7ZazVYdT8,Pilot Coffee,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,12,2021,$4.00,18814.0725,2021-02-01,12-2021,4-2021
o3W2cLXgLUx7ZazVYdT8,Pilot Coffee,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,9,2021,$3.00,15719.67,2021-02-01,9-2021,3-2021
o3W2cLXgLUx7ZazVYdT8,Pilot Coffee,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,10,2021,$4.00,16240.7025,2021-02-01,10-2021,4-2021
o3W2cLXgLUx7ZazVYdT8,Pilot Coffee,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,11,2021,$4.00,14943.285,2021-02-01,11-2021,4-2021
o3W2cLXgLUx7ZazVYdT8,Pilot Coffee,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,6,2021,$2.00,12170.0475,2021-02-01,6-2021,2-2021
o3W2cLXgLUx7ZazVYdT8,Pilot Coffee,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,8,2021,$3.00,9337.0725,2021-02-01,8-2021,3-2021
o3W2cLXgLUx7ZazVYdT8,Pilot Coffee,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,7,2021,$3.00,8406.7875,2021-02-01,7-2021,3-2021
xxDcoE8mdS4KNrIdulLG,thc-toronto-hemp-company,eCommerce,Tobacco / Smoke / CBD Products,Small Business,Toronto,2021-06-01,1,2022,$1.00,2083.29664,2021-02-01,1-2022,1-2022
xxDcoE8mdS4KNrIdulLG,thc-toronto-hemp-company,eCommerce,Tobacco / Smoke / CBD Products,Small Business,Toronto,2021-06-01,6,2021,$2.00,429.3,2021-02-01,6-2021,2-2021
xxDcoE8mdS4KNrIdulLG,thc-toronto-hemp-company,eCommerce,Tobacco / Smoke / CBD Products,Small Business,Toronto,2021-06-01,9,2021,$3.00,1020.6,2021-02-01,9-2021,3-2021
xxDcoE8mdS4KNrIdulLG,thc-toronto-hemp-company,eCommerce,Tobacco / Smoke / CBD Products,Small Business,Toronto,2021-06-01,3,2022,$1.00,1145.86395,2021-02-01,3-2022,1-2022
xxDcoE8mdS4KNrIdulLG,thc-toronto-hemp-company,eCommerce,Tobacco / Smoke / CBD Products,Small Business,Toronto,2021-06-01,10,2021,$4.00,1385.1,2021-02-01,10-2021,4-2021
xxDcoE8mdS4KNrIdulLG,thc-toronto-hemp-company,eCommerce,Tobacco / Smoke / CBD Products,Small Business,Toronto,2021-06-01,8,2021,$3.00,1377,2021-02-01,8-2021,3-2021
xxDcoE8mdS4KNrIdulLG,thc-toronto-hemp-company,eCommerce,Tobacco / Smoke / CBD Products,Small Business,Toronto,2021-06-01,2,2022,$1.00,1454.1037,2021-02-01,2-2022,1-2022
xxDcoE8mdS4KNrIdulLG,thc-toronto-hemp-company,eCommerce,Tobacco / Smoke / CBD Products,Small Business,Toronto,2021-06-01,11,2021,$4.00,1628.1,2021-02-01,11-2021,4-2021
xxDcoE8mdS4KNrIdulLG,thc-toronto-hemp-company,eCommerce,Tobacco / Smoke / CBD Products,Small Business,Toronto,2021-06-01,12,2021,$4.00,2033.1,2021-02-01,12-2021,4-2021
